怪物序号,标普一组,标普二组,标普三组,标精一组,标精二组,标精三组,进普一组,进普二组,进普三组,进精一组,进精二组,进精三组,困普一组,困普二组,困普三组,困精一组,困精二组,困精三组,触发脚本
1,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,苦痛蜘蛛15,血翼蜘蛛14,苦痛蜘蛛15,恶臭蜘蛛22,食人蜘蛛21,恶臭蜘蛛22,苦痛蜘蛛25,血翼蜘蛛24,苦痛蜘蛛25,恶臭蜘蛛32,食人蜘蛛31,恶臭蜘蛛32,苦痛蜘蛛35,血翼蜘蛛34,苦痛蜘蛛35,0
2,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,苦痛蜘蛛15,血翼蜘蛛14,苦痛蜘蛛15,恶臭蜘蛛22,食人蜘蛛21,恶臭蜘蛛22,苦痛蜘蛛25,血翼蜘蛛24,苦痛蜘蛛25,恶臭蜘蛛32,食人蜘蛛31,恶臭蜘蛛32,苦痛蜘蛛35,血翼蜘蛛34,苦痛蜘蛛35,0
3,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,苦痛蜘蛛15,血翼蜘蛛14,苦痛蜘蛛15,恶臭蜘蛛22,食人蜘蛛21,恶臭蜘蛛22,苦痛蜘蛛25,血翼蜘蛛24,苦痛蜘蛛25,恶臭蜘蛛32,食人蜘蛛31,恶臭蜘蛛32,苦痛蜘蛛35,血翼蜘蛛34,苦痛蜘蛛35,0
4,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,鬼面蜘蛛 猎魔17,血翼蜘蛛14,苦痛蜘蛛15,恶臭蜘蛛22,食人蜘蛛21,恶臭蜘蛛22,鬼面蜘蛛 猎魔17,血翼蜘蛛24,苦痛蜘蛛25,恶臭蜘蛛32,食人蜘蛛31,恶臭蜘蛛32,鬼面蜘蛛 猎魔17,血翼蜘蛛34,血翼蜘蛛34,0
5,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,null,鬼面蜘蛛 血魔27,血翼蜘蛛14,恶臭蜘蛛22,食人蜘蛛21,恶臭蜘蛛22,null,鬼面蜘蛛 血魔27,苦痛蜘蛛25,恶臭蜘蛛32,食人蜘蛛31,恶臭蜘蛛32,null,鬼面蜘蛛 血魔27,血翼蜘蛛34,0
6,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,null,null,血翼蜘蛛14,恶臭蜘蛛22,食人蜘蛛21,恶臭蜘蛛22,null,null,血翼蜘蛛24,恶臭蜘蛛32,食人蜘蛛31,恶臭蜘蛛32,null,null,血翼蜘蛛34,0
7,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,null,null,血翼蜘蛛14,恶臭蜘蛛22,食人蜘蛛21,恶臭蜘蛛22,null,null,血翼蜘蛛24,恶臭蜘蛛32,食人蜘蛛31,恶臭蜘蛛32,null,null,血翼蜘蛛34,0
8,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,null,null,血翼蜘蛛14,恶臭蜘蛛22,食人蜘蛛21,恶臭蜘蛛22,null,null,血翼蜘蛛24,恶臭蜘蛛32,食人蜘蛛31,恶臭蜘蛛32,null,null,血翼蜘蛛34,0
9,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,null,null,血翼蜘蛛14,恶臭蜘蛛22,食人蜘蛛21,恶臭蜘蛛22,null,null,血翼蜘蛛24,食尸蜘蛛33,食人蜘蛛31,恶臭蜘蛛32,null,null,血翼蜘蛛34,0
10,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,null,null,血翼蜘蛛14,恶臭蜘蛛22,食人蜘蛛21,恶臭蜘蛛22,null,null,虫巢5744,食尸蜘蛛33,食人蜘蛛31,恶臭蜘蛛32,null,null,血翼蜘蛛34,0
11,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,null,null,鬼面蜘蛛 天魔37,食尸蜘蛛23,食人蜘蛛21,恶臭蜘蛛22,null,null,鬼面蜘蛛 天魔37,食尸蜘蛛33,食尸蜘蛛33,恶臭蜘蛛32,null,null,鬼面蜘蛛 天魔37,0
12,恶臭蜘蛛12,食人蜘蛛11,恶臭蜘蛛12,null,null,虫巢5744,食尸蜘蛛23,食人蜘蛛21,恶臭蜘蛛22,null,null,null,食尸蜘蛛33,食尸蜘蛛33,恶臭蜘蛛32,null,null,虫巢5744,0
13,食尸蜘蛛13,食人蜘蛛11,食人蜘蛛11,null,null,null,食尸蜘蛛23,食人蜘蛛21,恶臭蜘蛛22,null,null,null,食尸蜘蛛33,食尸蜘蛛33,恶臭蜘蛛32,null,null,null,0
14,食尸蜘蛛13,食人蜘蛛11,食人蜘蛛11,null,null,null,食尸蜘蛛23,食人蜘蛛21,恶臭蜘蛛22,null,null,null,食尸蜘蛛33,食尸蜘蛛33,食人蜘蛛31,null,null,null,0
15,食尸蜘蛛13,食人蜘蛛11,食人蜘蛛11,null,null,null,食尸蜘蛛23,食人蜘蛛21,食人蜘蛛21,null,null,null,食尸蜘蛛33,食尸蜘蛛33,食人蜘蛛31,null,null,null,0
16,虫巢1438,食尸蜘蛛13,食人蜘蛛11,null,null,null,虫巢1438,食尸蜘蛛23,食人蜘蛛21,null,null,null,虫巢1438,食尸蜘蛛33,食人蜘蛛31,null,null,null,0
17,虫巢1438,食尸蜘蛛13,食人蜘蛛11,null,null,null,虫巢1438,食尸蜘蛛23,食人蜘蛛21,null,null,null,虫巢1438,食尸蜘蛛33,食人蜘蛛31,null,null,null,0
18,null,食尸蜘蛛13,食人蜘蛛11,null,null,null,null,食尸蜘蛛23,食人蜘蛛21,null,null,null,null,食尸蜘蛛33,食人蜘蛛31,null,null,null,0
19,null,食尸蜘蛛13,食人蜘蛛11,null,null,null,null,食尸蜘蛛23,食人蜘蛛21,null,null,null,null,食尸蜘蛛33,食人蜘蛛31,null,null,null,0
20,null,食尸蜘蛛13,食人蜘蛛11,null,null,null,null,食尸蜘蛛23,食人蜘蛛21,null,null,null,null,食尸蜘蛛33,食人蜘蛛31,null,null,null,0
21,null,食尸蜘蛛13,食人蜘蛛11,null,null,null,null,食尸蜘蛛23,食人蜘蛛21,null,null,null,null,食尸蜘蛛33,食人蜘蛛31,null,null,null,0
22,null,食尸蜘蛛13,食人蜘蛛11,null,null,null,null,食尸蜘蛛23,食人蜘蛛21,null,null,null,null,食尸蜘蛛33,食人蜘蛛31,null,null,null,0
23,null,食尸蜘蛛13,食尸蜘蛛13,null,null,null,null,食尸蜘蛛23,食人蜘蛛21,null,null,null,null,虫巢1438,食人蜘蛛31,null,null,null,0
24,null,食尸蜘蛛13,食尸蜘蛛13,null,null,null,null,虫巢1438,食人蜘蛛21,null,null,null,null,虫巢1438,食人蜘蛛31,null,null,null,0
25,null,食尸蜘蛛13,食尸蜘蛛13,null,null,null,null,虫巢1438,食人蜘蛛21,null,null,null,null,虫巢1438,食人蜘蛛31,null,null,null,0
26,null,虫巢1438,食尸蜘蛛13,null,null,null,null,虫巢1438,食人蜘蛛21,null,null,null,null,虫巢1438,食人蜘蛛31,null,null,null,0
27,null,虫巢1438,食尸蜘蛛13,null,null,null,null,虫巢1438,食尸蜘蛛23,null,null,null,null,虫巢1438,食人蜘蛛31,null,null,null,0
28,null,虫巢1438,食尸蜘蛛13,null,null,null,null,虫巢1438,食尸蜘蛛23,null,null,null,null,虫巢1438,食尸蜘蛛33,null,null,null,0
29,null,虫巢1438,食尸蜘蛛13,null,null,null,null,虫巢1438,食尸蜘蛛23,null,null,null,null,虫巢1438,食尸蜘蛛33,null,null,null,0
30,null,null,食尸蜘蛛13,null,null,null,null,null,食尸蜘蛛23,null,null,null,null,null,食尸蜘蛛33,null,null,null,0
31,null,null,食尸蜘蛛13,null,null,null,null,null,食尸蜘蛛23,null,null,null,null,null,食尸蜘蛛33,null,null,null,0
32,null,null,食尸蜘蛛13,null,null,null,null,null,食尸蜘蛛23,null,null,null,null,null,食尸蜘蛛33,null,null,null,0
33,null,null,食尸蜘蛛13,null,null,null,null,null,食尸蜘蛛23,null,null,null,null,null,食尸蜘蛛33,null,null,null,0
34,null,null,虫巢1438,null,null,null,null,null,食尸蜘蛛23,null,null,null,null,null,食尸蜘蛛33,null,null,null,0
35,null,null,虫巢1438,null,null,null,null,null,食尸蜘蛛23,null,null,null,null,null,食尸蜘蛛33,null,null,null,0
36,null,null,虫巢1438,null,null,null,null,null,食尸蜘蛛23,null,null,null,null,null,食尸蜘蛛33,null,null,null,0
37,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,0
38,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,0
39,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,0
40,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,0
41,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,0
42,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,0
43,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,0
44,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,0
45,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,null,null,虫巢1438,null,null,null,0
46,null,null,虫巢1438,null,null,null,null,null,虫巢5744,null,null,null,null,null,虫巢5744,null,null,null,0
47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
48,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
