物品编号,物品名字,掉落次数,掉落总数,每日控制,是否使用
99900025,裁决之杖,1,1,1,TRUE
99900027,龙纹剑,1,1,1,TRUE
99900028,骨玉权杖,1,1,1,TRUE
99900029,嗜魂法杖,0,1,0,TRUE
99900031,逍遥扇,0,1,0,TRUE
99900032,怒斩,0,1,0,TRUE
99900033,龙牙,1,1,0,TRUE
99900037,开天,0,1,0,TRUE
99900038,玄天,0,1,0,TRUE
99900039,镇天,0,1,0,TRUE
99900018,魔杖,5,5,1,TRUE
99900019,炼狱,5,5,1,TRUE
99900021,银蛇,5,5,1,TRUE
99900022,井中月,1,1,1,TRUE
99900023,血饮,1,1,1,TRUE
99900024,无极棍,1,1,1,TRUE
1501059,灵参,0,1,0,TRUE
91127,屠魔令,0,1,0,TRUE
1500812,香囊,0,1,0,TRUE
90206,魂石,0,1,0,TRUE
100001,镇魔秘药,0,1,0,TRUE
91151,高级勇者卷轴,0,1,0,TRUE
93002,英雄帖1,0,1,0,TRUE
99930031,记忆戒指,0,1,0,TRUE
